1: ([37.717880, -122.147573], [37.471473, -122.192725])
2: ([37.573256, -122.318636], [37.737605, -122.047613])
3: ([37.628381, -122.369855], [37.477026, -122.248720])
4: ([37.757789, -122.085809], [37.422195, -122.333446])
5: ([37.481267, -122.200242], [37.718792, -122.150985])
6: ([37.439484, -122.155184], [37.614841, -122.117944])
7: ([37.745397, -122.092267], [37.502547, -122.025614])
8: ([37.794791, -122.332612], [37.718688, -122.276436])
9: ([37.628606, -122.124010], [37.605746, -122.340867])
10: ([37.782397, -122.386609], [37.576973, -122.320121])
11: ([37.456931, -122.229033], [37.471176, -122.294954])
12: ([37.431600, -122.229112], [37.676477, -122.186517])
13: ([37.464310, -122.126511], [37.525842, -122.124288])
14: ([37.732539, -122.142456], [37.740330, -122.249426])
15: ([37.735177, -122.380684], [37.629110, -122.128736])
